index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,geographic_name,province,latitude,longitude
103,Dr. Cooke Extended Care Centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V 1N9,lloydminster,ab,53.273049,-110.019164
1030,Ladysmith Community Health Centre,general,Hospitals,Public Health Agency of Canada,,1111,4 ave,V9G 1A1,ladysmith,bc,48.9957415,-123.8276344
1031,Lake Country Family Practice,,Ambulatory health care services,Province of British Columbia,,9966,pollard road,V4V 1V7,lake country,bc,50.025931,-119.405559
1032,Lake Country Lodge,,Nursing and residential care facilities,Province of British Columbia,,10163,konschuh road,V4V 2M2,lake country,bc,50.0291435,-119.3984578
1034,Lakes District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,,741,centre st,V0J 1E0,burns lake,bc,54.23562679999999,-125.76126229999998
1035,Lakes Road Home,,Nursing and residential care facilities,Province of British Columbia,,6284,lakes rd,V9L 4S6,duncan,bc,48.798968,-123.69182
1036,Lakeshore Medical Centre,,Ambulatory health care services,Province of British Columbia,,2280,baron road,V1X 7W3,kelowna,bc,49.881024,-119.431768
1037,Lakeside House,,Nursing and residential care facilities,Province of British Columbia,,3597,gladstone st,V5N 4Y8,vancouver,bc,49.250461,-123.0604877
1038,Lakeview Lodge,,Nursing and residential care facilities,Province of British Columbia,,2337,butt road,V4T 3L3,west kelowna,bc,49.83701729999999,-119.6237769
1039,Lamton Home,,Nursing and residential care facilities,Province of British Columbia,,650,middleton way,V1B 2V5,coldstream,bc,50.2318418,-119.2547159
104,Dr. w. r. Keir - Barrhead Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N 1L2,barrhead,ab,54.1688675,-114.4747952
1040,Lands End Home,,Nursing and residential care facilities,Province of British Columbia,,1995,lands end rd,V8L 5J2,north saanich,bc,48.68585,-123.41694
1041,Langley Gardens,,Nursing and residential care facilities,Province of British Columbia,,8888,202 st,V1M 4A7,langley,bc,49.1663494,-122.6609691
1042,Langley Lodge,,Nursing and residential care facilities,Province of British Columbia,,5451,204 st,V3A 5M9,langley,bc,49.10156729999999,-122.6573035
1043,Langley Memorial Hospital,extended care,Hospitals,Public Health Agency of Canada,,22051,fraser hwy,V3A 4H4,langley,bc,49.0952999,-122.612079
1045,Langton Road,,Nursing and residential care facilities,Province of British Columbia,,7611,langton rd,V7C 4B4,richmond,bc,49.1570209,-123.1606944
1046,Lannan Road Residence,,Nursing and residential care facilities,Province of British Columbia,,2046,lannan rd,V9M 3Z6,comox,bc,49.7086633,-124.9362404
1047,Lansdowne Treatment Centre,,Ambulatory health care services,Province of British Columbia,,120-1641,hillside avenue,V8T 5G1,victoria,bc,48.445104,-123.334011
1048,Larkin House,,Nursing and residential care facilities,Province of British Columbia,,2583,larkin ave,V3B 2H8,port coquitlam,bc,49.277786,-122.7851203
1049,Larkspur House,,Nursing and residential care facilities,Province of British Columbia,,1310,larkspur ave,V3B 1G7,port coquitlam,bc,49.2660077,-122.7510197
1050,Last Door Recovery Centre,,Nursing and residential care facilities,Province of British Columbia,,323,8 st,V3M 3R3,new westminster,bc,49.2078235,-122.9191564
1052,Laurel Place Care Centre,,Nursing and residential care facilities,Province of British Columbia,,9688,137a st,V3T 4H9,surrey,bc,49.1784188,-122.8417804
1054,Leaside Place,,Nursing and residential care facilities,Province of British Columbia,,1807,e 64 ave,V5P 2M9,vancouver,bc,49.2121813,-123.068935
1055,Leonard Place,,Nursing and residential care facilities,Province of British Columbia,,4761,leonard pl,V2M 6Z5,prince george,bc,53.938608,-122.81031000000002
1056,Lillooet District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,,951,murray st,V0K 1V0,lillooet,bc,50.690014,-121.9387906
1058,Lindsay Home,,Nursing and residential care facilities,Province of British Columbia,,754,lindsay st,V8Z 3E1,victoria,bc,48.4911471,-123.3952548
1059,Lions Gate Hospital,general,Hospitals,Public Health Agency of Canada,,231,east 15 st,V7L 2L7,north vancouver,bc,49.32186420000001,-123.06837009999998
106,Drayton Valley Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A 1N8,drayton valley,ab,53.211841,-114.969193
1060,Lisgar Residence,,Nursing and residential care facilities,Province of British Columbia,,2471,lisgar cres,V2N 1C4,prince george,bc,53.897987,-122.79234
1061,"Little Mountain Manor, Inc.",,Nursing and residential care facilities,Province of British Columbia,,959,little mountain rd,V9P 2C3,parksville,bc,49.298621,-124.33023
1062,Little Mountain Place,,Nursing and residential care facilities,Province of British Columbia,,330,e 36 ave,V5W 3Z4,vancouver,bc,49.2376636,-123.0998532
1063,Little Mountain Residential Care and Housing Society — Adanac Park Lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5K 4T2,vancouver,bc,49.2608724,-123.113952
1065,Live Well Medical Centre,,Ambulatory health care services,Province of British Columbia,,160-8980,no 3 road,V6Y 2E8,richmond,bc,49.148846,-123.136661
1066,Lonsdale Medical Clinics,,Ambulatory health care services,Province of British Columbia,,108-1940,lonsdale avenue n,V7M 2K2,vancouver,bc,49.327193,-123.071945
1067,Loraine Avenue,,Nursing and residential care facilities,Province of British Columbia,,3908,loraine ave,V7R 4B8,north vancouver,bc,49.34458729999999,-123.1065884
1068,Louis Brier Home,,Nursing and residential care facilities,Province of British Columbia,,1055,w 41 ave,V6M 1W9,vancouver,bc,49.23448,-123.129
1071,Loyal Medical Clinic,,Ambulatory health care services,Province of British Columbia,,112-1055,west georgia street,V6E 3P1,vancouver,bc,49.285409,-123.12195
1072,Lucas Home,,Nursing and residential care facilities,Province of British Columbia,,909,lucas ave,V8X 4M7,victoria,bc,48.477997,-123.373936
1073,Luther Court,,Nursing and residential care facilities,Province of British Columbia,,1525,cedar hill x rd,V8P 5M1,victoria,bc,48.4619202,-123.3364271
1074,Luxton Home,,Nursing and residential care facilities,Province of British Columbia,,3522,luxton rd,V9C 0K6,victoria,bc,48.419041,-123.5341518
1075,Lynn Valley Care Centre,,Nursing and residential care facilities,Province of British Columbia,,1070,lynn valley road,V7J 1Z8,north vancouver,bc,49.33396,-123.045
1076,Lynn Valley House,,Nursing and residential care facilities,Province of British Columbia,,1525/1527,lynn valley road,V7J 2B1,north vancouver,bc,49.340396000000005,-123.0310686
1078,Lynn Valley Medical and Travel Clinic,,Ambulatory health care services,Province of British Columbia,,102-1200,lynn valley road,V7J 2A2,north vancouver,bc,49.33592,-123.0412
1079,Lynndale Lodge,,Nursing and residential care facilities,Province of British Columbia,,4820,10 ave sw,V1E 3B5,salmon arm,bc,50.6919774,-119.340954
108,Drumheller Health Centre,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J 0Y1,drumheller,ab,51.4698073,-112.7259344
1080,m.s.a. Manor,,Nursing and residential care facilities,Province of British Columbia,,2510,gladwin rd,V2T 3N9,abbotsford,bc,49.0475442,-122.3144389
1081,Mackenzie and District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,,45,centennial dr,V0J 2C0,mackenzie,bc,55.3375782,-123.100648
1082,Maginnis Avenue,,Nursing and residential care facilities,Province of British Columbia,,3660,maginnis avenue n,V7K 2L6,vancouver,bc,49.342687100000006,-123.034142
1083,Magnolia Gardens,,Nursing and residential care facilities,Province of British Columbia,,5840,glover rd,V3A 9K3,langley,bc,49.10824470000001,-122.6494693
1084,Magnolia House,,Nursing and residential care facilities,Province of British Columbia,,720,e 17 st,V7L 2W8,north vancouver,bc,49.3242484,-123.0538386
1085,Main Street Home,,Nursing and residential care facilities,Province of British Columbia,,5760,main street,V0H 1T0,oliver,bc,49.173073,-119.5552406
1086,Mainwaring,,Nursing and residential care facilities,Province of British Columbia,,8950,mainwaring rd,V8L 1J7,north saanich,bc,48.6249709,-123.4154788
1087,Malaspina Residence,,Nursing and residential care facilities,Province of British Columbia,,2028,cedar cres,V9N 3B6,courtenay,bc,49.678687700000005,-124.9927014
1088,Manchenda Medical Clinic,,Ambulatory health care services,Province of British Columbia,,7550,king george boulevard,V3W 2T2,surrey,bc,49.13988,-122.8432
1089,Mango Medical Clinic,,Ambulatory health care services,Province of British Columbia,,4392,beresford street,V5H 0E7,burnaby,bc,49.226057,-123.005725
109,East Edmonton Health Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B 0C2,edmonton,ab,53.5462055,-113.491241
1090,Manning House,,Nursing and residential care facilities,Province of British Columbia,,1560,manning ave,V3B 1K5,port coquitlam,bc,49.2680766,-122.7578008
1091,Manoah Manor,,Nursing and residential care facilities,Province of British Columbia,,20265,54a ave,V3A 3W6,langley city,bc,49.101831,-122.6608587
1092,Manuel House,,Nursing and residential care facilities,Province of British Columbia,,1709,232 st,V2Z 1K7,langley,bc,49.032664,-122.58322
1093,Maple Medical Clinic,,Ambulatory health care services,Province of British Columbia,,103-2025,west broadway,V6J 1Z6,vancouver,bc,49.263854,-123.151159
1094,Maple Ridge House,,Nursing and residential care facilities,Province of British Columbia,,12210,232a st,V2X 0R2,maple ridge,bc,49.2245369,-122.57835520000002
1095,Maple Ridge Seniors Village,,Nursing and residential care facilities,Province of British Columbia,,22141,119 ave,V2X 2Y7,maple ridge,bc,49.2193789,-122.6084592
1096,Maple Ridge Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,,22269,callaghan ave,V2X 2E2,maple ridge,bc,49.2137785,-122.6051618
1097,Maple Street Residence,,Nursing and residential care facilities,Province of British Columbia,,5537,maple st,V9Y 8H4,port alberni,bc,49.2711362,-124.8084067
1098,Maplewood House,,Nursing and residential care facilities,Province of British Columbia,,1919,jackson st,V2S 2Z8,abbotsford,bc,49.036607200000006,-122.3091484
11,Alberta Hip and Knee Clinic,other,Hospitals,Canadian Institute for Health Information,,,,T5E 5R8,edmonton,ab,53.5462055,-113.491241
110,Edmonton Chinatown Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5H 0G2,edmonton,ab,53.5462055,-113.491241
1101,Marchmont House,,Nursing and residential care facilities,Province of British Columbia,,739,marchmont rd,V9L 2L9,duncan,bc,48.7770977,-123.6935153
1102,Marchmont Place,,Nursing and residential care facilities,Province of British Columbia,,6124,ryall rd,V9L 2H7,duncan,bc,48.793073,-123.72443
1103,Marin Park,,Nursing and residential care facilities,Province of British Columbia,,1166,marin park dr,V8M 1E8,brentwood bay,bc,48.5714564,-123.45134070000002
1104,Marine Gateway Medical Clinic,,Ambulatory health care services,Province of British Columbia,,301-470,sw marine drive,V5X 0C4,vancouver,bc,49.210379,-123.11683
1105,Mariposa,,Nursing and residential care facilities,Province of British Columbia,,4133,mariposa heights,V8Z 6P5,victoria,bc,48.478199,-123.41418
1106,Mariposa Court,,Nursing and residential care facilities,Province of British Columbia,,3419,mariposa court,V1X 2S9,kelowna,bc,49.8590963,-119.4391121
1107,Mariposa Gardens,,Nursing and residential care facilities,Province of British Columbia,,8816,97 st,V0H 1V5,osoyoos,bc,49.034727,-119.47705829999998
1108,Marjorie Willoughby Snowden Memorial Hospice Home,,Nursing and residential care facilities,Province of British Columbia,,72,whiteshield crescent s,V2E 2S9,kamloops,bc,50.6588194,-120.3374527
1109,Mary Basil House,,Nursing and residential care facilities,Province of British Columbia,,2001,industrial rd,V1C 6H3,cranbrook,bc,49.5249786,-115.7686075
111,Edson Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,4716,5 ave,T7E 1S8,edson,ab,53.59182,-116.407
1110,Maryland House,,Nursing and residential care facilities,Province of British Columbia,,9496,maryland dr,V8L 2R6,sidney,bc,48.6401829,-123.4063757
1111,Masset Hospital,general,Hospitals,Public Health Agency of Canada,,1760,hodges,V0T 1M0,masset,bc,54.0204495,-132.157076
1113,Matters of Health Medical Clinic,,Ambulatory health care services,Province of British Columbia,,5591,west boulevard,V6M 3W6,vancouver,bc,49.235586,-123.155556
1114,Maxey Road Home,,Nursing and residential care facilities,Province of British Columbia,,2278,maxey rd,V9S 5V5,nanaimo,bc,49.185127,-124.00326
1115,May's Place,,Nursing and residential care facilities,Province of British Columbia,,333,powell st,V6A 1G5,vancouver,bc,49.28324,-123.097
1116,Mayfair (the),,Nursing and residential care facilities,Province of British Columbia,,33433,marshall rd,V2S 1K8,abbotsford,bc,49.039494,-122.2976893
1117,Mcarthur Home,,Nursing and residential care facilities,Province of British Columbia,,794-796,mcarthur drive,V2B 8L9,kamloops,bc,50.7625069,-120.3482057
1118,Mcbride and District Hospital,general,Hospitals,Public Health Agency of Canada,,594,king st,V0J 2E0,mcbride,bc,53.30163979999999,-120.1608281
1119,Mcbride Place,,Nursing and residential care facilities,Province of British Columbia,,878,mcbride street,V2B 5S3,kamloops,bc,50.70294570000001,-120.4107315
112,Elk Point Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,5310,50 ave,T0A 1A0,elk point,ab,53.8969745,-110.9058049
1120,Mccauley Lodge,,Nursing and residential care facilities,Province of British Columbia,,1037,lyall st,V9A 5G1,victoria,bc,48.426921,-123.4064
1121,Mcculloch Residence,,Nursing and residential care facilities,Province of British Columbia,,5500,mcculloch rd,V1W 4G1,kelowna,bc,49.83961179999999,-119.3486466
1122,Mckenzie Home,,Nursing and residential care facilities,Province of British Columbia,,1112,mckenzie st,V8V 2W2,victoria,bc,48.4151589,-123.3554095
1123,Mckim Cottage,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,,916,eleventh st,V1L 7A6,nelson,bc,49.508589,-117.267255
1124,Mckinney Place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0H 1T0,oliver,bc,49.183333,-119.55
1125,Mcqueen House,,Nursing and residential care facilities,Province of British Columbia,,2831,muir rd,V9N 6A2,courtenay,bc,49.7107401,-124.9852203
1126,Md Medical Centre,,Ambulatory health care services,Province of British Columbia,,3020,louie drive,V4T 3E1,west kelowna,bc,49.83547,-119.6209
1127,Meadowbrook,,Nursing and residential care facilities,Province of British Columbia,,12412,meadowbrook pl,V4R 2H6,maple ridge,bc,49.2279307,-122.635215
1128,Medi-Kel,,Ambulatory health care services,Province of British Columbia,,1715,ellis street,V1Y 8M9,kelowna,bc,49.883419,-119.493432
1129,Medical Arts Centre,,Ambulatory health care services,Province of British Columbia,,103-650,south terminal avenue,V9R 5E2,nanaimo,bc,49.16431,-123.9333
113,Extendicare — Athabasca,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9S 1K4,athabasca,ab,54.7214539,-113.2857941
1130,Medusa Street Residence,,Nursing and residential care facilities,Province of British Columbia,,5832,medusa street,V0N 3A3,sechelt,bc,49.4749989,-123.7650971
1131,Mega Fu Medical,,Ambulatory health care services,Province of British Columbia,,9251,alderbridge way,V6X 0N1,richmond,bc,49.178089,-123.119861
1132,Melody House,,Nursing and residential care facilities,Province of British Columbia,,1730,macdonald st,V6K 3X8,vancouver,bc,49.270557,-123.1681564
1133,Menno Extended Care Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,32945,marshall rd,V2S 1K1,abbotsford,bc,49.0384349,-122.31174140000002
1134,Menno Place - Menno Home,,Nursing and residential care facilities,Province of British Columbia,,32910,brundige ave,V2S 1N2,abbotsford,bc,49.03968,-122.311293
1137,Mentmore,,Nursing and residential care facilities,Province of British Columbia,,523,mentmore st,V3J 4P5,coquitlam,bc,49.250387200000006,-122.8702195
1138,Mercy Canada,,Nursing and residential care facilities,Province of British Columbia,,19465,16 ave,V3Z 9V2,surrey,bc,49.032142,-122.68423500000002
1139,Mercy Medical Clinic,,Ambulatory health care services,Province of British Columbia,,7155,120 street,V4E 2B1,delta,bc,49.132875,-122.892594
114,Extendicare — Bonnyville,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9N 2E8,bonnyville,ab,54.4316317,-110.5826304
1140,Mid-Main Community Health Centre,,Ambulatory health care services,Province of British Columbia,,3998,main street,V5V 3P2,vancouver,bc,49.249493,-123.100611
1141,Middleton House,,Nursing and residential care facilities,Province of British Columbia,,10306,middleton dr,V1T 2K6,vernon,bc,50.236328,-119.237596
1142,Mile Zero Clinic,,Ambulatory health care services,Province of British Columbia,,121-10200,8 street,V1G 3P8,dawson creek,bc,55.757051,-120.222749
1143,Milford,,Nursing and residential care facilities,Province of British Columbia,,2575,milford rd,V9W 5H3,campbell river,bc,49.9676849,-125.235307
1144,Milford Home,,Nursing and residential care facilities,Province of British Columbia,,10420,milford dr,V7A 4J7,richmond,bc,49.139108,-123.1151772
1145,Mill Lake Residence,,Nursing and residential care facilities,Province of British Columbia,,33056,mill lake rd,V2S 2A3,abbotsford,bc,49.04811779999999,-122.3077854
1147,Millers Way,,Nursing and residential care facilities,Province of British Columbia,,7710,15 ave,V3N 1W5,burnaby,bc,49.220594,-122.935316
1148,Millgrove Home,,Nursing and residential care facilities,Province of British Columbia,,3028,millgrove st,V9A 1X5,victoria,bc,48.448569,-123.3931465
1149,Mills Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,4720,haugland ave,V8G 2W7,terrace,bc,54.510203,-128.596541
115,Extendicare — Cedars Villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3C 0E7,calgary,ab,51.0456064,-114.057541
1150,Mimi's House,,Nursing and residential care facilities,Province of British Columbia,,1631,earlston ave,V8P 2Z6,victoria,bc,48.46396,-123.33049
1151,Mina Care Home,,Nursing and residential care facilities,Province of British Columbia,,1061,mina ave,V8Z 6P8,victoria,bc,48.467004,-123.41149
1152,Minoru Residence,,Nursing and residential care facilities,Province of British Columbia,,7333,gollner ave,V6Y 1Y4,richmond,bc,49.16897,-123.15
1153,Minto House,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0G 1R0,nakusp,bc,50.2396111,-117.7974031
1154,Mission Creek Landing Ltd.,,Nursing and residential care facilities,Province of British Columbia,,3081,hall rd,V1W 2R5,kelowna,bc,49.8715375,-119.4282439
1155,Mission Hills Medical Clinic,,Ambulatory health care services,Province of British Columbia,,107-32471,lougheed highway,V2V 0C8,mission,bc,49.133002000000005,-122.32574
1156,Mission Medical Centre,,Ambulatory health care services,Province of British Columbia,,102-3320,richter street,V1W 4V5,kelowna,bc,49.85784,-119.4897
1157,Mission Memorial Hospital,extended care,Hospitals,Public Health Agency of Canada,,7324,hurd st,V2V 3H5,mission,bc,49.1351173,-122.3326872
1158,Monashee Mews,,Nursing and residential care facilities,Province of British Columbia,,2165,norris ave,V0E 2G0,lumby,bc,50.2498936,-118.9617267
1159,Montgomery House,,Nursing and residential care facilities,Province of British Columbia,,227,montgomery st,V3K 5E7,coquitlam,bc,49.2368532,-122.8392463
116,Extendicare — Eaux Claires,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5Z 0G7,edmonton,ab,53.5462055,-113.491241
1160,Moog and Friends Hospice House,,Nursing and residential care facilities,Province of British Columbia,,1701,government st,V2A 8J7,penticton,bc,49.481517,-119.575713
1161,Morgan Place,,Nursing and residential care facilities,Province of British Columbia,,3288,156a st,V3Z 9T1,surrey,bc,49.062332,-122.790069
1162,Moss Rock Medical Centre,,Ambulatory health care services,Province of British Columbia,,1282,fairfield road,V8V 4W3,victoria,bc,48.415738,-123.349207
1163,Mount Ida Medical Centre,,Ambulatory health care services,Province of British Columbia,,200,trans canada highway sw,V1E 1V4,salmon arm,bc,50.699561,-119.287604
1164,Mount Ida Mews,,Nursing and residential care facilities,Province of British Columbia,,100,5 ave se,V1E 4H4,salmon arm,bc,50.696003000000005,-119.28418
1165,Mount Nelson Place,,Nursing and residential care facilities,Province of British Columbia,,750,6 avenue,V0A 1K0,invermere,bc,50.507667,-116.0282627
1167,Mount Seymour Medical Clinic,,Ambulatory health care services,Province of British Columbia,,333,seymour boulevard,V7J 2J4,north vancouver,bc,49.311582,-123.024409
1168,Mount Seymour Parkway House,,Nursing and residential care facilities,Province of British Columbia,,3403,mt seymour pkwy,V7H 1G4,north vancouver,bc,49.3153534,-122.9773545
117,Extendicare — Fort Macleod,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L 0Z0,fort macleod,ab,49.7267379,-113.4076000973896
1170,Mount St. Mary Hospital,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8V 5A9,victoria,bc,48.4283182,-123.364953
1171,Mount Tolmie Hospital,extended care,Nursing and residential care facilities,Public Health Agency of Canada,,3690,richmond rd,V8P 4R6,victoria,bc,48.459924,-123.330454
1172,Mountain Lake Seniors Community Ltd.,,Nursing and residential care facilities,Province of British Columbia,,908,11 street,V1L 7A6,nelson,bc,49.508215,-117.265992
1173,Mountain View,,Nursing and residential care facilities,Province of British Columbia,,470,middleton way,V1B 3Z7,vernon,bc,50.2325339,-119.2424448
1174,Mountain View Home,,Nursing and residential care facilities,Province of British Columbia,,5133,boundary rd,V3G 2N4,abbotsford,bc,49.0955257,-122.0814539
1175,Mountain View Lodge,,Nursing and residential care facilities,Province of British Columbia,,951,murray street,V0K 1V0,lillooet,bc,50.6892622,-121.9389613
1176,Mountain View Lodge Complex & Long Term Care Unit,,Nursing and residential care facilities,Province of British Columbia,,920,lahakas blvd,V8C 2S3,kitimat,bc,54.050267000000005,-128.65618
1177,Mountain View Manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V4K 3V6,delta,bc,49.0846258,-123.057938
1178,Mountainview Group Home,,Nursing and residential care facilities,Province of British Columbia,,4195,jingle pot rd,V9T 5P7,nanaimo,bc,49.206446,-124.02689
1179,Mt. Cartier Court,,Nursing and residential care facilities,Province of British Columbia,,1200,newlands rd,V0E 2S0,revelstoke,bc,50.977361,-118.191795
118,Extendicare — Hillcrest,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N 1C1,calgary,ab,51.0456064,-114.057541
1180,Mulberry Place,,Nursing and residential care facilities,Province of British Columbia,,2803,39 st,V1T 6J3,vernon,bc,50.2628808,-119.2869228
1181,Mundy Street Residence,,Nursing and residential care facilities,Province of British Columbia,,316,mundy st,V3K 5M4,coquitlam,bc,49.2400763,-122.8345635
1182,Murals Medical Clinic,,Ambulatory health care services,Province of British Columbia,,100-22314,fraser highway,V3A 8M6,langley,bc,49.090915,-122.606243
1183,Murray House (p.d.s.c.l.),,Nursing and residential care facilities,Province of British Columbia,,110,murray dr,V2A 7E4,penticton,bc,49.4684905,-119.5904134
1184,Murrayville Manor,,Nursing and residential care facilities,Province of British Columbia,,21616,46 ave,V3A 3J4,langley,bc,49.085552,-122.624304
1185,Muscroft House,,Nursing and residential care facilities,Province of British Columbia,,4433,francis road,V7C 1J8,richmond,bc,49.148604,-123.1746239
1186,Nanaimo Regional General Hospital,general,Hospitals,Public Health Agency of Canada,,1200,dufferin cres,V9S 2B7,nanaimo,bc,49.1849979,-123.969295
1187,Nanaimo Seniors Village,,Nursing and residential care facilities,Province of British Columbia,,6085,uplands dr,V9V 1T8,nanaimo,bc,49.236311,-124.03886
1188,Nancy Greene Way,,Nursing and residential care facilities,Province of British Columbia,,5793,nancy greene way,V7R 4W4,north vancouver,bc,49.3687958,-123.100531
1189,Nazirah House,,Nursing and residential care facilities,Province of British Columbia,,4560,imperial st,V5J 1B6,burnaby,bc,49.2215495,-123.0007978
119,Extendicare — Holyrood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6C 2T1,edmonton,ab,53.5462055,-113.491241
1190,Nechako Center - Adult,,Nursing and residential care facilities,Province of British Columbia,,1308,alward st,V2M 7B1,prince george,bc,53.9110183,-122.76638090000002
